LastName	FirstName	DatasetID	Dataset	SpeciesName	AccSpeciesID	AccSpeciesName	ObservationID	ObsDataID	TraitID	TraitName	DataID	DataName	OriglName	OrigValueStr	OrigUnitStr	ValueKindName	OrigUncertaintyStr	UncertaintyName	Replicates	StdValue	UnitName	RelUncertaintyPercent	OrigObsDataID	ErrorRisk	Reference	Comment	StdValueStr	
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801089	4675814			323	Atmospheric CO2 concentration during measurement (Ca)	ca	32	ppm										unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801089	4675815	49	Photosynthesis: intercellular CO2 concentration	58	Intercellular CO2 concentration (ci)	ci	37	ppm	Single				37	ppm			9.79051	unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801089	4675817			322	Temperature during measurement	leaf temperature	25	C										unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801090	4675818			561	Measurement series ID	Measurement series ID	34											unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801090	4675819			834	Sample ID (Accession ID)	Set_in_Workbook	220											unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801090	4675820			323	Atmospheric CO2 concentration during measurement (Ca)	ca	33	ppm										unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801090	4675821	49	Photosynthesis: intercellular CO2 concentration	58	Intercellular CO2 concentration (ci)	ci	44	ppm	Single				44	ppm			8.79161	unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801090	4675823			322	Temperature during measurement	leaf temperature	24.9	C										unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801092	4675826			561	Measurement series ID	Measurement series ID	36											unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801092	4675827			834	Sample ID (Accession ID)	Set_in_Workbook	222											unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801092	4675828			323	Atmospheric CO2 concentration during measurement (Ca)	ca	35	ppm										unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801092	4675829	49	Photosynthesis: intercellular CO2 concentration	58	Intercellular CO2 concentration (ci)	ci	40	ppm	Single				40	ppm			9.34107	unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801092	4675831			322	Temperature during measurement	leaf temperature	26	C										unpub.			
Kattge	Jens	67	Leaf Physiology Database	Quercus ilex	45402	Quercus ilex	801093	4675832			561	Measurement series ID	Measurement series ID	37											unpub.			
